Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Revalidación del Registro de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,21600.0,0.0,0.0,Nivel 1,1.0,1,0.3087036960376015
Prestación de servicios del Complejo Deportivo Revolución Mexicana del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,3.0,3.0,Nivel 2,1.0,1,0.43645151083522965
Caja general del Sistema DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,10.0,0.0,0.0,,0.0,2,-0.7400857536735044
Capacitar con temas gerontológicos a los enlaces y/o personas que estén al frente de grupos de personas adultas mayores de los diferentes DIF Municipales.,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,7200.0,1.0,0.0,,0.0,2,-0.21310630509509423
Centros de Desarrollo Comunitario Urbanos (CDC),Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
"Acompañamiento, asistencia y seguimiento de proyectos de inversión",Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,60.0,0.0,1.0,Nivel 3.1,0.0,2,-0.831824326147649
Comercialización de prendas no desempeñadas,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Credencialización para Personas con Discapacidad Permanente,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,3.0,0.0,,0.0,2,-0.3147612090023443
"Apoyo con Estudios de gabinete, laboratorio y medicamentos",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Apoyo de Gastos Funerarios,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,3.0,0.0,,0.0,2,-0.3147612090023443
Jornadas Médicas de Subespecialidad,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,1.0,Nivel 1,0.0,2,-0.381835841970559
Ayudas Técnicas,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Servicio de Atención Psicológica,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Servicio de Estacionamiento Plaza Independencia Reloj Monumental,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Licencia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,8.0,2.0,Nivel 1,1.0,1,0.6982551721146535
Taller Laboratorio de Órtesis y Prótesis,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 1,0.0,2,-0.3881603833193503
Consulta Médica en el Servicio de Urgencias en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Por actualización o reexpedición de órdenes de escrituración,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,4.0,1.0,,1.0,1,0.16409541780227632
Autorización de Fusión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,7.0,1.0,Nivel 1,1.0,1,0.28447414296361917
Autorización de Subdivisión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,6.0,2.0,Nivel 1,1.0,1,0.4895357947863655
Autorización de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,14.0,1.0,Nivel 1,1.0,1,0.591114717035861
Por trámite de avalúo y traslado de Dominio de la Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,5.0,1.0,,1.0,1,0.16409541780227632
Entrega de paquetes de Conejos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,2880.0,1.0,1.0,Nivel 2,0.0,2,-0.49511786922634693
Albergue del Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,2,-0.4835833034331023
Autorización de Relotificación de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,8.0,1.0,Nivel 1,1.0,1,0.28447414296361917
Alerta AMBER en Hidalgo,Procuraduría General de Justicia,Procuraduría General de Justicia,10.0,4.0,0.0,Nivel 3.5,0.0,2,-0.9686386104920843
Autorización de Protocolización,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,4.0,1.0,Nivel 1,0.0,2,-0.47008052877367534
Autorización de Venta de Lotes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,10.0,1.0,Nivel 1,1.0,1,0.3015958483562513
Autorización de Régimen de Propiedad en Condominio,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,11.0,1.0,Nivel 1,1.0,1,0.591114717035861
Inscripción UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,15.0,3.0,0.0,Nivel 1,1.0,1,-0.14327858362748175
Búsqueda de documentos en archivo y expedición de copias,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,15.0,1.0,1.0,,1.0,1,-0.15897778807543644
Expedición de constancias de Propiedad y/o Posesión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,4.0,1.0,,1.0,1,0.16409541780227632
Dictamen de Estudio de impacto Urbano y Vial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,4.0,1.0,Nivel 1,1.0,1,0.09069624348527033
Reposición de Acta Entrega,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,3.0,1.0,Nivel 1,1.0,1,-0.09912219980143971
Copias Certificadas y Simples,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,1.0,1.0,Nivel 1,1.0,1,-0.21057671153647722
Copia de Plano,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,1,-0.12114594559818576
Elaboración de Croquis de Localización por Lote,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,1,-0.12114594559818576
Marcado de lotes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,1,-0.12114594559818576
Entrega física del lote por segunda vez,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,1,-0.12114594559818576
Levantamiento Topográfico,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,1,-0.12114594559818576
Capacitación Acuícola y Pesquera,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,43200.0,0.0,1.0,Nivel 2,0.0,2,-0.24755008460497324
Admisión UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,1.0,0.0,Nivel 1,1.0,1,0.06116187720455782
Solicitud de baja temporal ó toma muerta del servicio de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,0.0,1.0,,0.0,2,-0.403859587767305
Director Responsable y Corresponsable Modalidad Registro de DRyC,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,5.0,2.0,Nivel 1,1.0,1,0.488445681015019
Instalación física de toma de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,1.0,0.0,,0.0,2,-0.41018412911609636
"Asesoría de la Incubadora de Empresas del ICATHI, para iniciar o fortalecer un negocio",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,60.0,1.0,0.0,Nivel 1,1.0,1,-0.14660533822476812
Inscripción COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,10.0,6.0,0.0,Nivel 1,1.0,1,0.01650161604761194
Constancia de Persona Concesionaria y/o Permisionaria,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,,1.0,1,-0.025723025484433698
Inscripción UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,2.0,0.0,Nivel 1,1.0,1,0.15658479731830985
Reinscripción UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,1.0,0.0,Nivel 1,1.0,1,0.06116187720455782
Otorgamiento o Renovación de Permisos del Servicio Privado y Complementario de Transporte de Personas y Bienes,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,10.0,1.0,,1.0,1,0.37390490890191075
Mediación y Conciliación en Materia Penal,Procuraduría General de Justicia,Procuraduría General de Justicia,15.0,2.0,0.0,Nivel 3.1,0.0,2,-0.834822112899154
Inscripción UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,2880.0,1.0,0.0,Nivel 4.2,1.0,0,-0.7640881474245445
Admisión UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,2880.0,3.0,0.0,Nivel 4.2,1.0,0,-0.6686652273107925
Inscripción UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,30.0,4.0,1.0,Nivel 2,1.0,1,0.017297069168264345
Reinscripción UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,15.0,2.0,0.0,Nivel 1,1.0,1,-0.14327858362748175
Certificado de Normas Técnicas de Competencia Laboral en CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 3.1,1.0,1,0.009786448684297788
Autorización para el trabajo de mayores de 15 años y menores de 16,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,4.0,2.0,,0.0,2,0.8872156452452549
Inscripción a cursos de inglés,Secretaría de Educación Pública,Instituto Hidalguense de Educación,40.0,2.0,1.0,Nivel 1,1.0,1,-0.07670857550675445
Certificado de no Propiedad (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,1.0,2.0,,1.0,1,0.750327265496588
Certificado de Única Propiedad (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,1.0,2.0,Nivel 3.5,1.0,0,0.23653304527754598
Informes sobre Inscripción de Testamentos (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,2.0,Nivel 3.5,1.0,0,0.27238262901410526
Inscripción de Accesión de Terrenos Rústicos (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,7.0,1.0,Nivel 3.5,1.0,0,0.3696840459844531
"Inscripción de Actos Mercantiles, Rectificación (Registro Público de la Propiedad y del Comercio)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,Nivel 3.5,1.0,0,-0.029943888401891328
Inscripción de Contratos que transmiten la Propiedad de Muebles con Limitaciones. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.029943888401891328
Inscripción de Escrituras Constitutivas de Personas Morales o Modificaciones de Capital (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,1.0,Nivel 3.5,1.0,0,-0.12536680851564336
Impartición de Justicia en Conflictos Laborales del Sector Privado,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,0.0,Nivel 1,0.0,2,0.124501128649247
Impartición de justicia de conflictos laborales del sector público,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,518400.0,1.0,0.0,Nivel 1,0.0,2,0.18006886263399957
Celebración de Convenios Fuera de Juicio de los trabajadores al Servicio de los Gobiernos Estatal y Municipal.,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,1.0,0.0,,0.0,2,0.19790030296625294
"Registro de Sindicatos, Expedición de la Toma de Nota y Registro de Condiciones Generales de Trabajo de los Sindicatos al Servicio de los Gobiernos Estatal y Municipal del Estado de Hidalgo.",Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,518400.0,1.0,0.0,Nivel 1,0.0,2,0.18006886263399957
Tramitación de la Declaración de Beneficiarios de trabajadores al Servicio de los Gobiernos Estatal y Municipal.,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,1.0,Nivel 1,0.0,2,0.13082566999803835
Acuerdo que autoriza o niega el reconocimiento de validez oficial de estudios de tipo superior. (RVOE),Secretaría de Educación Pública,Secretaría de Educación Pública,86400.0,5.0,1.0,Nivel 2,1.0,1,0.638003420212909
Registro y cotejo de documentos de alumnos inscritos en nivel licenciatura y posgrado,Secretaría de Educación Pública,Secretaría de Educación Pública,1440.0,3.0,1.0,Nivel 1,1.0,1,0.16290933866710117
Expedición de certificado de defunción,Secretaría de Salud,Secretaría de Salud,60.0,0.0,1.0,Nivel 1,0.0,2,-0.6850259775136369
Inscripción de Poderes Civiles y Sustituciones (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.029943888401891328
Regularización de la propiedad,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,20.0,0.0,1.0,,1.0,1,-0.1371775372194713
Inscripción por Constitución del Patrimonio Familiar. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.4838503318171508
Ratificación de firmas. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.4838503318171508
Reinscripción ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,19.0,2.0,0.0,Nivel 1,1.0,1,-0.12538971910441626
Inscripción de alumnos a educación primaria. (de 2° a 6° grado),Secretaría de Educación Pública,Instituto Hidalguense de Educación,1440.0,3.0,0.0,Nivel 1,0.0,2,-0.3881603833193503
Sustitución del Cargo de Albacea. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.4838503318171508
Equivalencia de Estudios de Educación Media Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,5.0,1.0,Nivel 4.1,1.0,0,-0.25758531151225283
Revalidación de Estudios de Educación Media Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,5.0,1.0,Nivel 4.1,1.0,0,-0.25758531151225283
CURP (Clave Única de Registro de Población),Secretaría de Educación Pública,Instituto Hidalguense de Educación,2.0,1.0,0.0,Nivel 1,0.0,2,-0.5659138259900209
Registro de una institución de educación media superior y superior,Secretaría de Educación Pública,Secretaría de Educación Pública,2880.0,7.0,1.0,Nivel 2,1.0,1,0.5446781659114096
Registro Profesional Estatal,Secretaría de Educación Pública,Secretaría de Educación Pública,60.0,7.0,5.0,Nivel 2,1.0,1,1.0720249179289396
Carta de No Inconveniente para Incorporación a una Institución Educativa,Secretaría de Educación Pública,Secretaría de Educación Pública,43200.0,6.0,1.0,,1.0,1,0.7292348080671609
Informe de antecedentes profesionales,Secretaría de Educación Pública,Secretaría de Educación Pública,2880.0,1.0,1.0,Nivel 2,1.0,1,0.0496273114113132
Registro como unidad receptora de servicio social,Secretaría de Educación Pública,Secretaría de Educación Pública,1440.0,2.0,1.0,Nivel 4.1,0.0,0,-1.1892267594576251
Registro de Colegio de Profesionistas y Federación,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,3.0,1.0,Nivel 2,1.0,1,0.2865879883710972
Ampliaciones de autorizaciones para profesionistas,Secretaría de Educación Pública,Secretaría de Educación Pública,60.0,3.0,2.0,Nivel 2,1.0,1,0.27949238645051777
Servicio Médico Hospitalario,Secretaría de Salud,Secretaría de Salud,2880.0,3.0,0.0,Nivel 1,1.0,1,0.21212486449327989
Por la actualización de opiniones técnicas de factibilidad,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,1,0.3642697290009016
Por la impartición de cursos de capacitación a personas físicas o morales del sector privado,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,1,0.3642697290009016
Atención Integral a personas adultas mayores de 60 años en el Centro Estatal de Atención Geriátrica Integral (CESAGI),Secretaría de Salud,Secretaría de Salud,120.0,0.0,0.0,Nivel 1,1.0,1,-0.091697268278715
Atención Integral a Mayores de 20 años con Enfermedades Crónico-Degenerativas (UNEME EC),Secretaría de Salud,Secretaría de Salud,2880.0,2.0,1.0,Nivel 1,0.0,2,-0.3262957747955889
Permiso de Libros de Control de Estupefacientes y Psicotrópicos,Secretaría de Salud,Secretaría de Salud,7200.0,4.0,0.0,Nivel 1,0.0,2,-0.0012641160116381167
Certificado de Calidad del Agua de Sistemas Públicos y Privados,Secretaría de Salud,Secretaría de Salud,86400.0,2.0,0.0,Nivel 1,1.0,1,0.5152596098944136
Titulación UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,25.0,6.0,0.0,Nivel 4.1,1.0,0,-0.7219291015792404
Solicitud de Licencia Sanitaria para servicios urbanos de fumigación y control de plagas.,Secretaría de Salud,Secretaría de Salud,86400.0,2.0,0.0,Nivel 1,1.0,1,0.5152596098944136
Reinscripción UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,20.0,3.0,2.0,,1.0,1,0.3559948204240293
Asesorías Complementarias Intersemestrales CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,1.0,1.0,Nivel 1,1.0,1,0.06748641855334914
Asesorías Complementarias Semestrales CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,1.0,1.0,Nivel 1,1.0,1,0.06748641855334914
Cursos de capacitación,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 3.1,1.0,1,-0.08563647142945424
Reposición de Credencial de CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,1.0,1.0,Nivel 1,1.0,1,0.06748641855334914
Reposición de Certificado de terminación de estudios CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,3.0,1.0,Nivel 1,1.0,1,0.16290933866710117
"Opinión favorable para actividades relacionadas con armas, municiones, pólvoras y explosivos, artificios y substancias químicas relacionadas con explosivos.",Secretaría de Gobierno,Secretaría de Gobierno,388800.0,5.0,1.0,Nivel 1,1.0,1,0.9933172420322891
Acuerdo de Actualización del Plan y Programa de Estudios,Secretaría de Educación Pública,Secretaría de Educación Pública,28800.0,4.0,1.0,Nivel 1,1.0,1,0.6233314304962074
Expedición de la Carta de Opinión de Pertinencia de Planes y Programas de Estudios de tipo Superior solicitada ante la COEPEES,Secretaría de Educación Pública,Secretaría de Educación Pública,172800.0,3.0,1.0,Nivel 1,1.0,1,0.7384887943009508
Programa de Atención Médica Contra Accidentes Para Escolares en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,3.0,0.0,Nivel 1,0.0,2,-0.3881603833193503
Becas ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,34560.0,1.0,2.0,Nivel 1,0.0,2,0.20571012663902677
Por la elaboración de constancia de seguridad por unidad de transporte de materiales peligrosos,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,1,0.3642697290009016
Inscripción a cursos de capacitación en línea del ICATHI,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,30.0,1.0,1.0,Nivel 1,1.0,1,-0.1945451199151917
"Autenticación de título, diploma o grado académico",Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,12.0,1.0,Nivel 1,1.0,1,1.050224079525404
"Diseño, tendido y corte de tela para el ensamble de prendas de vestir en el ICATHI",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,60.0,1.0,0.0,Nivel 1,1.0,1,-0.14660533822476812
Atención médica.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,60.0,0.0,0.0,,0.0,2,-0.6179513445454223
Admisión UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,1460.0,3.0,1.0,,1.0,1,0.2374135272725842
Cancelación de Hipoteca y Reserva de Dominio,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,4.0,1.0,,1.0,1,0.16409541780227632
"Representación Legal a Trabajadores, Sindicatos y Beneficiarios",Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,1.0,0.0,Nivel 1,0.0,2,0.124501128649247
Denuncia y/o queja a posibles violaciones o incumplimientos a las norma de trabajo,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,21600.0,0.0,0.0,Nivel 1,0.0,2,-0.23604148460005867
Emisión de estado de cuenta,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,2.0,1.0,Nivel 1,1.0,1,-0.09912219980143971
Reestructuración de crédito,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,45.0,1.0,1.0,,0.0,2,-0.6342526794483901
Constancia de Viabilidad,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,7.0,2.0,Nivel 1,1.0,1,0.6982551721146535
Atención de trabajo social,Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,2,-0.6323051967478338
Prestación de servicios de Marketing Deportivo del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,15.0,0.0,1.0,Nivel 1,1.0,1,-0.2323769623924425
Albergue Revolución,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.41018412911609636
Autorización de cambio de titular del Centro de Verificación Vehicular,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,0.0,2.0,,1.0,1,0.8417428821964474
Permiso de Publicidad Modalidad A Productos y Servicios,Secretaría de Salud,Secretaría de Salud,21600.0,4.0,1.0,Nivel 1,1.0,1,0.6002696007868549
Solicitud de Visita de Verificación de materia prima y medicamentos que sean o contengan estupefacientes o psicotrópicos Modalidad A. Balance,Secretaría de Salud,Secretaría de Salud,43200.0,1.0,0.0,Nivel 1,0.0,2,-0.18047545163675854
"Reportes, Quejas y Sugerencias del Servicio Tuzobús",Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,21600.0,2.0,1.0,Nivel 2,0.0,2,-0.20769319745452136
Expedición de Tarjetón para Personas Conductoras del Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,1440.0,13.0,2.0,Nivel 1,1.0,1,1.2508956930341506
Renovación del Tarjetón para Personas Conductoras del Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,1440.0,9.0,1.0,Nivel 1,1.0,1,0.5625372730534457
Centro de Expresión Juvenil,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,11520.0,0.0,0.0,,0.0,2,-0.17543145591012568
Inscripción 1er Semestre Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,5.0,0.0,Nivel 1,1.0,1,0.08437170213647907
Readmision UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,1.0,Nivel 2,1.0,1,-0.26794429423219773
Examen de Recuperación UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,,1.0,1,-0.1274704869469771
Bitácora de Operación de Equipos y Procesos Generadores de Emisiones a la Atmósfera,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,2.0,0.0,,1.0,1,0.5330918234316596
Autorización en materia de impacto ambiental del transporte de residuos de manejo especial generados en procesos industriales y de servicios.,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,86400.0,7.0,1.0,Nivel 2,1.0,1,0.8478129113125432
Inscripción de registro de perito valuador (Catastral),Secretaría de Hacienda,Instituto Catastral,172800.0,2.0,2.0,Nivel 1,1.0,1,1.1362382318306994
Puntos Topográficos con referencia de localización.,Secretaría de Hacienda,Instituto Catastral,4320.0,2.0,1.0,,1.0,1,0.39244213648941156
Restitución fotogramétrica escala 1:1000.,Secretaría de Hacienda,Instituto Catastral,4320.0,0.0,1.0,,1.0,1,0.29701921637565953
"Constancias de calificaciones, reportes de evaluación y certificación de educación básica",Secretaría de Educación Pública,Instituto Hidalguense de Educación,5760.0,3.0,1.0,Nivel 4.1,1.0,0,-0.4652898361625441
Autorización para impartir educación inicial y/o básica en el estado,Secretaría de Educación Pública,Instituto Hidalguense de Educación,18720.0,2.0,3.0,Nivel 2,1.0,1,1.040025088501818
Registro de Institución en el Catálogo de Centros de Trabajo de SEPH,Secretaría de Educación Pública,Instituto Hidalguense de Educación,20.0,2.0,1.0,Nivel 2,0.0,2,-0.7332981463773913
Becas de Educación Básica para escuelas públicas y particulares,Secretaría de Educación Pública,Instituto Hidalguense de Educación,21600.0,2.0,1.0,Nivel 4.1,0.0,0,-0.9416849406245815
